Job_ID,Company_ID,Job_Title,Location,Experience,Requirements,Skills,Recruiter_Username,Portal_ID
01HQY593T7PMRYD27Z2HKH0K16,01HQXAVCQRZNRV1QSXE05NJAFX, Associate Data Analyst - CX Strategy & Operations ," Austin, TX ",3+ years relevant experience,Must have 3+ years of relevant experience,"Backend Stack, SQL, Urdu, Adobe Creative Suite, AWS, Snowflake, Sphinx, Problem-Solving, Scrum, HTML/CSS, Scala, Pascal",ohulburdi,01HQY4F1KHY94CQ6FRP6NXFAX7
01HQY593T889YM1QK0R8JB949W,01HQXAVCQRZNRV1QSXE05NJAFX, Associate Data Analyst - CX Strategy & Operations ," Santa Barbara, CA ",3+ years relevant experience,Must have experience leading cross-functional teams,"Pandas, PostgreSQL, Docker, Problem-Solving, LaTeX, Ansible",pgambiel,01HQY4F1KHY94CQ6FRP6NXFAX7
01HQY593T8S1C41R06NXTY21JR,01HQXAVCQYW1KXPRZ6615PWV2F, Software Engineer ," Gaithersburg, MD ",1-2 years relevant experience,Tableau data analyst certification,"Git, Spanish, Social Media Marketing, Google Cloud Platform, MongoDB",ctrodd1c,01HQY4F1KRSNSF7VPRJWQB895T
01HQY593T8NJQHXREAWY4AR1D3,01HQXAVCNXNTF2X9CHFQ3WWKCY, Software engineer – New grad , SF ,5+ years relevant experience,Must have experience leading cross-functional teams,"PostgreSQL, SEO/SEM, C#, Swift, Docker, Linux, Ansible, AI/ML frameworks, American Sign Language, Cybersecurity, Scheme, Agile",mdzenisenkav,01HQY4F1JA3FCCTNN3208VWN79
01HQY593T9XCBSX7F22W9S3CTR,01HQXAVCNR9S4QG0HWEAC6V3R3, Weld Engineer I ," Long Beach, CA ",0-1 years relevant experience,Must have 5+ years of relevant experience,"OOP, UX/UI Design, Budgeting, Problem-Solving, JavaScript",abeagin8,01HQY4F1J6R3ZCKJN407VFDDRC
01HQY593T9NY9NMG5KJ2E5PXHJ,01HQXAVCP5YRQ291B75HVNX42S, Customer Engagement Analyst ," Grand Rapids, MI ",1-2 years relevant experience,Must have 5+ years of relevant experience,"Julia, Pandas, UX/UI Design, Software Development, Kotlin, Vue.js, MongoDB, HTML/CSS/JavaScript, Jenkins, Web Development, Bash Scripting",mcrowcher9,01HQY4F1JFHZBBKRDRC04H8208
01HQY593T9S9626NEABZF6Z187,01HQXAVCN5G2MXGRMQVBCY72CT, Product Data Scientist - Customer Growth , Remote in USA ,3+ years relevant experience,Must have 5+ years of relevant experience,"Flask, C#, Google Cloud Platform, React, Databases, Problem-Solving, Keras, Networking Fundamentals, Hootsuite, Web Development, Bash Scripting",bgrunnells,01HQY4F1HN5KA0E8PQ9FG79RSS
01HQY593TAQS7B823676XPJMD6,01HQXAVCN5G2MXGRMQVBCY72CT, Product Data Scientist - Customer Growth , Remote ,3+ years relevant experience,Tableau data analyst certification,"Git, SEO/SEM, Customer Support, Docker, French, AI/ML frameworks, MongoDB, SQLite, Scala",fbrafield0,01HQY4F1HN5KA0E8PQ9FG79RSS
01HQY593TA34V4AJC45AH9MV45,01HQXAVCPRKVFRHW30MVGVPT6P, Associate Software Engineer ," Wheeling, IL ",5+ years relevant experience,US Citizen,"PyTorch, Flask, Snowflake, Linux, Budgeting, Italian, Problem-Solving, Communication, PowerBI, Oracle Databases, JavaScript, Hootsuite",elangcastle15,01HQY4F1JW64393V7GP1FBWRD8
01HQY593TA54TV86W16N51WEA7,01HQXAVCQ5P0HC3497F85N7E5T, Associate Creative Technologist ," St. Louis, MO ",1-2 years relevant experience,Must be willing to relocate,"Jupyter, Swift, Financial modeling, C++, HTML/CSS",ffossitt7,01HQY4F1K53Z9Z429EKNR6MDME
01HQY593TBMS3EDVXCNX14VV17,01HQXAVCNGPCBFB85646KACJH3, Associate Creative Technologist ," St. Louis, MO ",5+ years relevant experience,Tableau data analyst certification,"Flask, Kubernetes, Pandas, Adobe Creative Suite, Software Development, Linux, Tensorflow, Vue.js, American Sign Language, HTML/CSS/JavaScript, Hindi",ohulburdi,01HQY4F1HY4N4ZNS94H339F1W9
01HQY593TBMSCK9A8AH2PCTZDZ,01HQXAVCPN0ZBX3E5TNJ18S7WZ, Software Developer – Entry Level ," Toronto, ON, Canada ",3+ years relevant experience,US Citizen,"Django, Swift, Italian, MongoDB, AWS, Java",ssignorelli1d,01HQY4F1JVEX9A5Y8MS2TC5Y0M
01HQY593TB1JWRKYP7JM93TZRR,01HQXAVCPN0ZBX3E5TNJ18S7WZ, Mobile Developer – Entry Level ," Toronto, ON, Canada ",5+ years relevant experience,Must have experience leading cross-functional teams,"Git, Google Cloud Platform, Graphic Design, Problem-Solving, American Sign Language, Databricks, Scheme",ohulburdi,01HQY4F1JVEX9A5Y8MS2TC5Y0M
01HQY593TCZW8P1V2SZGEE6TQY,01HQXAVCPN0ZBX3E5TNJ18S7WZ, Software Developer – Entry Level ," Toronto, ON, Canada ",5+ years relevant experience,Must have 5+ years of relevant experience,"Julia, OOP, Frontend Stack, C#, Linux, Project Management, HTML/CSS, Agile",icatfordy,01HQY4F1JVEX9A5Y8MS2TC5Y0M
01HQY593TC4TVJGQ5SGG49XT0A,01HQXAVCN0W99RMJMCYW6YEAQH, Software Engineer I - Web , Remote in USA ,0-1 years relevant experience,Must have 5+ years of relevant experience,"Angular, Adobe Creative Suite, Pandas, Google Cloud Platform, Tensorflow, AI/ML frameworks, Networking Fundamentals, Hindi, MySQL",ffossitt7,01HQY4F1HGJC85FG3N9KKRK5C5
01HQY593TCGKQ7F84VCH89QVY2,01HQXAVCMYGC67QD7VVVTWSG8Z, Data Analyst ," Irving, TX ",1-2 years relevant experience,AWS Cloud Practitioner certification,"JavaScript, Software Development, React, Ansible, MongoDB, Databricks, Ruby, Tableau, Java",obrechera,01HQY4F1HEKCAH2NM81258VAFM
01HQY593TD4EK7CVPH7YHY97CK,01HQXAVCPJDK3N52P0DMK6QMCZ, Software Engineer – New College Grad 2024 ," Santa Clara, CA ",0-1 years relevant experience,Must have 3+ years of relevant experience,"Julia, Frontend Stack, C#, React, LaTeX, American Sign Language, Oracle Databases, HTML/CSS",mparbrookj,01HQY4F1JS1WN549XHQER3E0XE
01HQY593TDADEPF0BPGTWS76P7,01HQXAVCPJDK3N52P0DMK6QMCZ, Web Application Software Engineer – New College Grad 2024 ," Santa Clara, CA ",5+ years relevant experience,Must have 5+ years of relevant experience,"Flask, Adobe Creative Suite, Jupyter, Snowflake, Databases, Neo4j, Scrum, LaTeX, Leadership, JavaScript",xalexanderr,01HQY4F1JS1WN549XHQER3E0XE
01HQY593TDPZT1GGDWQSVZAT6H,01HQXAVCQ5D7ZWTXG117VS0WH2, Software Engineer – Recent Grad ," San Jose, CA ",5+ years relevant experience,Tableau data analyst certification,"Flask, Julia, Google Cloud Platform, Docker, Graphic Design, C++, Financial modeling, Scheme, Jenkins, Web Development",ryerbym,01HQY4F1K5R9RARYKGN464BQ5E
01HQY593TECSQW7FDWKJWC78ZC,01HQXAVCN1FXQ33T0F8GFE3B27, Compiler Engineer – New College Grad 2024 - Deep Learning ," Redmond, WA</br>Santa Clara, CA ",5+ years relevant experience,Must be willing to travel 20% of time,"Sphinx, Google Cloud Platform, Ruby SQL, Swift, Python, Web Development, Java",mparbrookj,01HQY4F1HJ803QSDS2FS09GCXY
01HQY593TE0585KNR7VKZVG3G9,01HQXAVCQHB5ZJHP91FE26SXGE, Software Engineer - Infrastructure ," San Carlos, CA ",0-1 years relevant experience,Oracle SQL certification required,"SQL, OOP, Backend Stack, Social Media Marketing, Algorithms, Databases, MySQL, Keras, MongoDB, Scheme, Pascal",ctrodd1c,01HQY4F1KCJFVKBZP8N5XPR5JY
01HQY593TEYP3BJEAJZYZ76EB5,01HQXAVCNX82GGSTVNHY6F6RAG, Software Engineer – New College Grad 2024 ," San Jose, CA ",0-1 years relevant experience,Oracle SQL certification required,"Google Cloud Platform, Docker, React, Budgeting, Scrum, Agile",ssignorelli1d,01HQY4F1J92JTFVV4NARAH9JKJ
01HQY593TFYYZ43EKRJWK50N90,01HQXAVCQ7SQ7NE6T3PZVRETRV, New College Grad - Data Scientist ," San Jose, CA ",0-1 years relevant experience,US Citizen,"Git, Julia, Google Cloud Platform, Graphic Design, Neo4j, Oracle Databases, HTML/CSS, Algorithms, Hindi, Hootsuite, Pascal",ffossitt7,01HQY4F1K731HX7MGDTVJTW51P
01HQY593TFZEJ4WKFF3NT3455C,01HQXAVCQFFPG5M23NVR0R2X1M, Entry Level Data Scientist ," Pittsburgh, PA ",0-1 years relevant experience,Oracle SQL certification required,"SQL, Backend Stack, PyTorch, Docker, Ruby SQL, Pascal, SQLite, Scala, MySQL",lvose6,01HQY4F1KBD4DEW6GJVP91KQ0T
01HQY593TFXE5APVGJZ4Q6SGGW,01HQXAVCQZT7RE42HZ1RT90XT3, Application Developer ," Glendale, CA ",3+ years relevant experience,AWS Cloud Practitioner certification,"Content Marketing, Frontend Stack, Software Development, Customer Support, Swift, Italian, C++, Agile, Angular",dfeander2,01HQY4F1KTJGBN9QB2FVECCD3F
01HQY593TG5MWEQZJ23TYDKBTB,01HQXAVCP6CNA6P2JGVC63K80B, Robotics Automation Engineer ," San Mateo, CA ",0-1 years relevant experience,Must be willing to travel 20% of time,"Content Marketing, Problem-Solving, MySQL, American Sign Language, Financial modeling, Oracle Databases, HTML/CSS/JavaScript, Hindi, Bash Scripting",zvendittow,01HQY4F1JG85AN4EKW2KNJT59Z
01HQY593TG80RPBG6NX5B4EE7V,01HQXAVCP39HW798T0DYXEDTG2, Legal Fellow , Remote in USA ,1-2 years relevant experience,Must have 5+ years of relevant experience,"Google Cloud Platform, Technical Writing, Financial modeling, Oracle Databases, Scheme, Web Development, Pascal",ahoutbyb,01HQY4F1JEM0DK4DG9GSRRQKFY
01HQY593TGQ6VGC7VJAP3G2XRE,01HQXAVCQXE1RD288FFEM024BX, Developer – Baseball Systems ," Cambridge, MA ",1-2 years relevant experience,Oracle SQL certification required,"Italian, MongoDB, Cybersecurity, Agile, MySQL",mcrowcher9,01HQY4F1KQRHYTHM3NE1V50M1H
01HQY593THTQWJXSJ5K7C9Q3AZ,01HQXAVCN7MH2XRPMJ7J64AE6E, Product Manager , Remote in USA ,1-2 years relevant experience,Must have at least one year of non-internship relevant experience,"SQL, Frontend Stack, Sphinx, Azure, C#, Graphic Design, Databases, Problem-Solving, Technical Writing, Networking Fundamentals, Tableau, Pascal",jmcclochk,01HQY4F1HRCD22G9HYVHWQR0YF
01HQY593TH3NA34YK0ND76AAQ2,01HQXAVCNK3AMWVBJ36V8EJGF0, Data Analyst ," Kansas City, MO ",5+ years relevant experience,Must have at least one year of non-internship relevant experience,"Snowflake, Ruby SQL, German, Technical Writing, Tableau, Angular",ryerbym,01HQY4F1J12VW49GYD5BQRHWJG
01HQY593THGSW5FMWMT68PP9HD,01HQXAVCPXJ816ASSR2X3BE7E5, Equities Operations Specialist ," London, UK ",0-1 years relevant experience,AWS Cloud Practitioner certification,"Content Marketing, OOP, Sphinx, React, German",kvivashq,01HQY4F1K15N5ZFCGQYVXJKXPJ
01HQY593TJ2KRJQ2TE1WFFZ6AB,01HQXAVCPQQWTDJREPGT1QSSNM, Entry-Level AI Data Rater - English - US , United States ,3+ years relevant experience,Must have 5+ years of relevant experience,"Social Media Marketing, Software Development, German, American Sign Language, SQLite, Angular",icatfordy,01HQY4F1JWJQ6S0WS0JQT5FY3X
01HQY593TJXX4JPVY8FYGAKWJB,01HQXAVCP1J91G20CKXB34WAW6, Software Engineer – New Grad ," San Mateo, CA ",1-2 years relevant experience,Must be willing to travel 20% of time,"Content Marketing, Flask, Azure, Docker, Kotlin, LaTeX, Communication, MySQL, MongoDB, Java, Angular",mdzenisenkav,01HQY4F1JCN0S8PZBH3G90XMGK
01HQY593TJAJCYDVD538ATEZZ1,01HQXAVCQTN5HF896HX8TH7B9M, Data Protection Analyst , United States ,3+ years relevant experience,Must have experience leading cross-functional teams,"Urdu, UX/UI Design, Technical Writing, PowerBI, Ruby, Hootsuite",ebeaufoy13,01HQY4F1KNGRAWZ8SZEG097AWW
01HQY593TKSJ0G4EJ2MEM61K97,01HQXAVCN4GVN6280ECKYQV0YX, Security Operations Engineer I - Provo ," Provo, UT ",1-2 years relevant experience,Tableau data analyst certification,"Pandas, SEO/SEM, Frontend Stack, Keras, Angular",cmethamx,01HQY4F1HMRQ80VX5AZF163DKE
01HQY593TK34XCTE99R0P4PD2S,01HQXAVCNR9S4QG0HWEAC6V3R3, Materials & Processes Engineer I - General Metallics ," Long Beach, CA ",1-2 years relevant experience,Must be willing to relocate,"Pandas, Snowflake, Sphinx, React, Leadership, AWS, Cybersecurity, Hootsuite, Agile",jlibermoreg,01HQY4F1J6R3ZCKJN407VFDDRC
01HQY593TK33RXKY8TYADEV8DD,01HQXAVCN09996V5Z9YWGVFQKE, Software Engineer-Equity Derivatives Desk ," Chicago, IL ",3+ years relevant experience,Must have 3+ years of relevant experience,"Docker, Perl, Ansible, Financial modeling, Databricks, MySQL",pgambiel,01HQY4F1HGPP1YZVCREA8N9H2K
01HQY593TM19XMFFDB9N08M5EJ,01HQXAVCNFA79230T33CZGFNKA, Fraud Detection Analyst ," London, UK ",3+ years relevant experience,Must have 5+ years of relevant experience,"PyTorch, Backend Stack, Jupyter, SEO/SEM, Italian, Ansible, Keras, PowerBI, Ruby, Hootsuite",icatfordy,01HQY4F1HY1RNKKN7145ZFKGHS
01HQY593TM0AMSTQN37QYQT27R,01HQXAVCPA1950R98FJ3F7B0V4, Software Engineer – Junior & New Grad ," Mountain View, CA ",5+ years relevant experience,Must be willing to travel 20% of time,"Adobe Creative Suite, Tensorflow, Ansible, Scala, Tableau",eworledge17,01HQY4F1JMVD2FCQB1M6PXFW43
01HQY593TMY11H54CVCKWJPVE8,01HQXAVCQZYF5N9HVP8QNCXW97, Software Engineer - Client - Tech Enablement - Central tech , Canada ,0-1 years relevant experience,Must have experience leading cross-functional teams,"Backend Stack, Angular, Pandas, UX/UI Design, Software Development, Graphic Design, React, Problem-Solving, C++, Networking Fundamentals, Bash Scripting",agimblet19,01HQY4F1KTTVY1YM1ZAMPGP66N
01HQY593TN85DFV5BMTZGTVEA0,01HQXAVCPJDK3N52P0DMK6QMCZ, Deep Learning Tools Developer – New College Grad 2024 ," Santa Clara, CA ",3+ years relevant experience,Must have 5+ years of relevant experience,"Git, Content Marketing, Urdu, Budgeting, American Sign Language, AI/ML frameworks, MongoDB, Jenkins, Hootsuite, Bash Scripting",mdzenisenkav,01HQY4F1JS1WN549XHQER3E0XE
01HQY593TN75CGW6YJ51YR2TRB,01HQXAVCQ7SQ7NE6T3PZVRETRV, New College Grad - Software Engineer - System Testing ," Rochester, MN ",1-2 years relevant experience,Must have 5+ years of relevant experience,"Pandas, Social Media Marketing, Google Cloud Platform, Italian, Problem-Solving, Tensorflow, Algorithms",ehoulston4,01HQY4F1K731HX7MGDTVJTW51P
01HQY593TNPKBC4M26D1KMGW56,01HQXAVCPDYDYG8CZX3Z5T4QQQ, New College Grad Software Engineer - Front-End ," Palo Alto, CA ",5+ years relevant experience,Must have experience leading cross-functional teams,"Software Development, Swift, Ruby SQL, Neo4j, Scrum, Vue.js, AI/ML frameworks, Algorithms, Scheme, Hootsuite, Bash Scripting",icatfordy,01HQY4F1JPZQEXMYGHQF6WBGP7
01HQY593TPV2ZPTMHXH724S9NP,01HQXAVCQY2ADH326EKPXK0GKB, QA Engineer - Hybrid ," Newport Beach, CA ",3+ years relevant experience,Must have 5+ years of relevant experience,"Project Management, AI/ML frameworks, American Sign Language, C++, JavaScript, Bash Scripting",xhugonnet14,01HQY4F1KR7KVKDQTB2CDP3VD0
01HQY593TPQD0FQ1ZBAZ7CFD3S,01HQXAVCN47J7W4VJFTW7HKBJM, Data Analyst & Visualizer – Entry Level , Remote in USA ,1-2 years relevant experience,Must have 5+ years of relevant experience,"Urdu, Julia, C#, Ruby SQL, Databases, Italian, C++, PowerBI, Hootsuite",rtheis10,01HQY4F1HNWK1AKW5SPE7WGVES
01HQY593TPTMRFQGF7P1T43ZMH,01HQXAVCN8B3FSS586YXEC6EZT, Quality Assurance Engineer I – May Graduates ," Lincoln, NE</br>Omaha, NE ",5+ years relevant experience,Must be willing to travel 20% of time,"PyTorch, JavaScript, Sphinx, French, Vue.js, American Sign Language, Technical Writing, MongoDB, C++, Algorithms, Hootsuite, Bash Scripting",ctrodd1c,01HQY4F1HT1QN6AMRHVM36HPNZ
01HQY593TQEWD7RGD822F90R4K,01HQXAVCN8B3FSS586YXEC6EZT, Quality Assurance Engineer I – May Graduates ," Lincoln, NE</br>Omaha, NE ",1-2 years relevant experience,Must have 3+ years of relevant experience,"SQL, React, Scrum, Communication, Technical Writing, Hootsuite, Cybersecurity, Pascal",hvanyukhin11,01HQY4F1HT1QN6AMRHVM36HPNZ
01HQY593TQBFMETWR56H7V1MHW,01HQXAVCQ7SQ7NE6T3PZVRETRV, New College Grad Engineer - Software Engineering - Firmware ," San Jose, CA ",1-2 years relevant experience,US Citizen,"Pandas, Project Management, Kotlin, MySQL, JavaScript, Scala, Agile, Pascal",kcowoppe1a,01HQY4F1K731HX7MGDTVJTW51P
01HQY593TQN62E2JECPM16GAD7,01HQXAVCNX82GGSTVNHY6F6RAG, Software Engineer – New College Grad 2024 , Remote in USA ,0-1 years relevant experience,Must have 3+ years of relevant experience,"Spanish, OOP, Julia, PostgreSQL, Django, Docker, Databases, Keras, HTML/CSS",ryerbym,01HQY4F1J92JTFVV4NARAH9JKJ
01HQY593TRP5Z8B98DRMRKZKW8,01HQXAVCNK7GVK0VTS2M2QRFNV, Associate Energy Engineer - Solutions Development-Remote , Remote in USA ,3+ years relevant experience,Oracle SQL certification required,"Kubernetes, SEO/SEM, Software Development, Web Development, Problem-Solving, Perl, Technical Writing, Databricks, Agile, MySQL",rbloggett3,01HQY4F1J2RF2E0JMNZSXB6GAZ
01HQY593TRHXJQT7AN3WVV1J7M,01HQXAVCQHTVKE950JRBXWERBF, IT Support Bilingual English/Spanish ," Tukwila, WA ",3+ years relevant experience,Must have experience leading cross-functional teams,"Software Development, Databases, French, Problem-Solving, Leadership",ctrodd1c,01HQY4F1KCJM090CQX9TSPT614
01HQY593TRFFD2ZRP0BY89852V,01HQXAVCPJDK3N52P0DMK6QMCZ, Software Engineer – New College Grad 2024 - Chip Design Tools ," Santa Clara, CA ",0-1 years relevant experience,Oracle SQL certification required,"Keras, American Sign Language, Oracle Databases, Jenkins, Agile, Pascal",xhugonnet14,01HQY4F1JS1WN549XHQER3E0XE
01HQY593TSFKVKMAJYXZD9AD8E,01HQXAVCPPZJYK9GQ61HVGQ5A8, Software Engineer II – New College Grad - Burlington - MA/Greater Boston Area ," Northridge, LA ",1-2 years relevant experience,Must have 5+ years of relevant experience,"Adobe Creative Suite, Social Media Marketing, Azure, Ansible, German",xalexanderr,01HQY4F1JWWW8CD556CCWVCHCB
01HQY593TS91T9Y1GY0PGQW4CN,01HQXAVCNVX51TET3B8Y2E56AK, Software Engineer II - Cloud Infrastructure , Remote in USA ,1-2 years relevant experience,Oracle SQL certification required,"Adobe Creative Suite, Pandas, PostgreSQL, Tensorflow, Communication, American Sign Language, Oracle Databases, Agile",cvenessf,01HQY4F1J8PZ3APY4XFEMWD96A
01HQY593TSPCZR92DXHFRDJ933,01HQXAVCPSKAXASJN6YGBXPJ44, Trade Desk Analyst ," Chicago, IL ",1-2 years relevant experience,Must have 5+ years of relevant experience,"Jupyter, UX/UI Design, Customer Support, Swift, Budgeting, LaTeX, Vue.js, Tensorflow, Technical Writing, Ruby, Jenkins",ckedwardp,01HQY4F1JYA6EBGRP8AJR0DGZ8
01HQY593TTF7H070230P5P53Y8,01HQXAVCP954Y20ZZHK9K1SH45, Associate Specialist - Fjw ," Phoenix, AZ ",0-1 years relevant experience,Must have 3+ years of relevant experience,"Spanish, Snowflake, Neo4j, C++, Leadership",pgambiel,01HQY4F1JJP7FMZPHXBMKYT48S
01HQY593TTDHNX7SQQHHN2A00J,01HQXAVCR0PX1DP6TJNR6FAJ4M, Software Engineer Grad ," Santa Clara, CA ",5+ years relevant experience,Must be willing to relocate,"Urdu, Julia, Pandas, Jupyter, AI/ML frameworks, MongoDB, Leadership, Algorithms, Scala, Networking Fundamentals",rtheis10,01HQY4F1KTD55SYC08WZ3410WP
01HQY593TTY2CWA6D9KR84ZV6D,01HQXAVCNK6RH7P5PG6EHZ8CWW, Women in Trading Sneak Peek Week - 2024 ," Chicago, IL ",3+ years relevant experience,Oracle SQL certification required,"Git, Customer Support, React, Databricks, Ruby, Web Development",ohulburdi,01HQY4F1J2F3EA6C8JXTHRVRB0
01HQY593TVPFYYKC3E5P4ZKAEQ,01HQXAVCN1FXQ33T0F8GFE3B27, Architecture Energy Modeling Engineer – New College Grad 2024 ," Santa Clara, CA ",3+ years relevant experience,Tableau data analyst certification,"Urdu, Databases, Tensorflow, German, PowerBI, HTML/CSS",kbrehato,01HQY4F1HJ803QSDS2FS09GCXY
01HQY593TVVRBACQEJHPV72DXZ,01HQXAVCN1FXQ33T0F8GFE3B27, Power Architect – New College Grad 2024 ," Santa Clara, CA ",0-1 years relevant experience,Must be willing to relocate,"Angular, Git, Sphinx, C#, Docker, Python, Problem-Solving, Java, Scala, Jenkins, Networking Fundamentals",rasaaft,01HQY4F1HJ803QSDS2FS09GCXY
01HQY593TVKDQJJ26X53AGSJB4,01HQXAVCN1FXQ33T0F8GFE3B27, Backend Compiler Engineer – New College Grad 2024 - Gpu ," Austin, TX</br>Remote in USA ",5+ years relevant experience,Oracle SQL certification required,"Social Media Marketing, Google Cloud Platform, French, Tensorflow, AI/ML frameworks, Databricks, Algorithms, Jenkins",bgrunnells,01HQY4F1HJ803QSDS2FS09GCXY
01HQY593TWE5Z5X39A1ETN6XAC,01HQXAVCQ22MNS16DAVXPAY14E, Full-Stack Engineer Summer 2024 New Grad ," Irvine, CA ",3+ years relevant experience,Must have at least one year of non-internship relevant experience,"SQL, Julia, Git, Frontend Stack, Django, Azure, Scrum, LaTeX, Financial modeling, SQLite, Oracle Databases",ebeaufoy13,01HQY4F1K3B0CA1Z9V8MK37YA5
01HQY593TWXTDQMQTV78D9JE70,01HQXAVCPRMK17QM6FJ6Q54JAA, Data Scientist ," London, UK ",0-1 years relevant experience,US Citizen,"SQL, UX/UI Design, Docker, Italian, American Sign Language, Jenkins",ckedwardp,01HQY4F1JXJ893A2C4G7WJHSY0
01HQY593TWJWWYX35336EW9SAH,01HQXAVCNN54BCBJCZDD6DTQ2K, Quality Assurance Analyst , Remote ,1-2 years relevant experience,Must have 5+ years of relevant experience,"Sphinx, Kotlin, Keras, Algorithms, Agile, Bash Scripting",ctrodd1c,01HQY4F1J4E19KXEC58TGZ1NKJ
01HQY593TXD3HWMRYEY6Y5SAB2,01HQXAVCQ7SQ7NE6T3PZVRETRV, New College Grad Engineer - Software Engineering - Graduating Dec 2023 - May 2024 ," Rochester, MN ",1-2 years relevant experience,AWS Cloud Practitioner certification,"Software Development, Google Cloud Platform, Scrum, Ansible, Tensorflow, AI/ML frameworks, Technical Writing, Algorithms, Agile",mcrowcher9,01HQY4F1K731HX7MGDTVJTW51P
01HQY593TXEB7KBRWM225BBT44,01HQXAVCMYVW26KJFWGFEP0HP7, Technical Support Associate – Entry Level - High Potential , Remote in USA ,3+ years relevant experience,US Citizen,"SQL, PostgreSQL, Frontend Stack, UX/UI Design, Software Development, LaTeX, Communication, SQLite, AWS, Ruby, MySQL",ebeaufoy13,01HQY4F1HEF3P3M4X39JRMFYBK
01HQY593TXC315J6KQY4SAE0PH,01HQXAVCN024KZC3110647MRAF, Data Scientist – Entry Level , NYC ,1-2 years relevant experience,Must have at least one year of non-internship relevant experience,"Social Media Marketing, Azure, Ruby SQL, Google Cloud Platform, Scrum, Ansible, AI/ML frameworks, Hootsuite",ohulburdi,01HQY4F1HHKKGW7M2FKREFX19J
