Company,Role,Location,Application/Link,Date Posted
Thumbtack, Product Data Scientist - Customer Growth , Remote ," <a href=""https://boards.greenhouse.io/thumbtack/jobs/5630261?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/76e048cf-89b1-41e6-87cc-f235d9096234?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 21 
Onbe, Associate Software Engineer ," Wheeling, IL "," <a href=""https://www.onbe.com/company/careers?gh_jid=4337322006&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/efb2950e-3dc5-4ced-bf11-f368b63c4233?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 21 
Momentum Worldwide, Associate Creative Technologist ," St. Louis, MO "," <a href=""https://www.momentumww.com/opportunities/?gh_jid=7218155002&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/73ff690b-ed18-4f02-a28a-ba2492114573?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 16 
IPG DXTRA, Associate Creative Technologist ," St. Louis, MO "," <a href=""https://boards.greenhouse.io/dxacirca/jobs/7218301002?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/77bcdc09-4070-4457-a4fb-ea1a67c7a760?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 16 
Konrad Group, Software Developer – Entry Level ," Toronto, ON, Canada "," <a href=""https://boards.greenhouse.io/embed/job_app?token=5893240003&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/b063c145-57ac-4928-864c-83370dacdd44?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 16 
Konrad Group, Mobile Developer – Entry Level ," Toronto, ON, Canada "," <a href=""https://boards.greenhouse.io/embed/job_app?token=5893296003&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/8a12530b-7cd6-4d88-aa6b-e83fc742aa40?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 16 
Konrad Group, Software Developer – Entry Level ," Toronto, ON, Canada "," <a href=""https://boards.greenhouse.io/embed/job_app?token=5893276003&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/c5222dbe-53e9-4813-9053-f33de5a3954e?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 16 
Acorns, Software Engineer I - Web , Remote in USA ," <a href=""https://boards.greenhouse.io/acorns/jobs/5708620?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/3ac11ed3-59cb-4415-bdb2-5d829b0aad2c?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 15 
 Hello Fresh , Data Analyst ," Irving, TX ", 🔒 , Feb 15 
 NVIDIA , Software Engineer – New College Grad 2024 ," Santa Clara, CA ", 🔒 , Feb 14 
 NVIDIA , Web Application Software Engineer – New College Grad 2024 ," Santa Clara, CA ", 🔒 , Feb 14 
 PayPal , Software Engineer – Recent Grad ," San Jose, CA ", 🔒 , Feb 14 
NVIDIA, Compiler Engineer – New College Grad 2024 - Deep Learning ," Redmond, WA</br>Santa Clara, CA "," <a href=""https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Compiler-Engineer---Deep-Learning--New-College-Grad-2024_JR1979833?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/d951e174-1507-4b74-8f8b-0cc483ba6e19?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 14 
TigerGraph, Software Engineer - Infrastructure ," San Carlos, CA "," <a href=""https://boards.greenhouse.io/tigergraph/jobs/5664024?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/f6892350-87e7-4949-b86e-b04103476027?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 13 
 Cadence Design Systems , Software Engineer – New College Grad 2024 ," San Jose, CA ", 🔒 , Feb 13 
 Western Digital , New College Grad - Data Scientist ," San Jose, CA ", 🔒 , Feb 10 
 Govini , Entry Level Data Scientist ," Pittsburgh, PA ", 🔒 , Feb 09 
HCVT, Application Developer ," Glendale, CA "," <a href=""https://jobs.lever.co/hcvt/a4cf34d5-772b-4e21-ad64-ca846ae5a0c3/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/8d6cdfb7-8dbe-4489-b855-232761c6accb?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 09 
 Skydio , Robotics Automation Engineer ," San Mateo, CA ", 🔒 , Feb 09 
 Evisort , Legal Fellow , Remote in USA , 🔒 , Feb 08 
Redsox, Developer – Baseball Systems ," Cambridge, MA "," <a href=""https://jobs.lever.co/redsox/9d53d177-05c0-4d65-bd19-198973a583c6/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/f75de2f1-d530-488b-aed5-6b997f16e3e8?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 07 
Empowerly, Product Manager , Remote in USA ," <a href=""https://jobs.lever.co/empowerly/38d07a6b-254c-4c5a-8da1-3e1e805e4c24/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/706a3c20-9781-4cdc-b81b-10bd8f83417c?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 07 
 Barkley , Data Analyst ," Kansas City, MO ", 🔒 , Feb 07 
DRW, Equities Operations Specialist ," London, UK "," <a href=""https://boards.greenhouse.io/drweng/jobs/5682653?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/3577e15e-6eea-44e8-99e4-fa9a2f1f0d69?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 07 
Welocalize, Entry-Level AI Data Rater - English - US , United States ," <a href=""https://jobs.lever.co/welocalize/b6af22c2-0ae8-432f-bdce-90ffda2f555a/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/856c81b6-410a-4143-8c0a-5a5238458981?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 07 
 Rockset , Software Engineer – New Grad ," San Mateo, CA ", 🔒 , Feb 07 
Fortra, Data Protection Analyst , United States ," <a href=""https://boards.greenhouse.io/fortra/jobs/4301255006?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/e588419d-6b77-4f69-b45b-8856909683ca?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 07 
 Qualtrics , Security Operations Engineer I - Provo ," Provo, UT ", 🔒 , Feb 06 
Relativity Space, Materials & Processes Engineer I - General Metallics ," Long Beach, CA "," <a href=""https://boards.greenhouse.io/relativity/jobs/7166121002?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/71853290-996b-465a-948c-fef601f24304?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 06 
 Gelber Group , Software Engineer-Equity Derivatives Desk ," Chicago, IL ", 🔒 , Feb 03 
 Trustpilot , Fraud Detection Analyst ," London, UK ", 🔒 , Feb 02 
 NewsBreak , Software Engineer – Junior & New Grad ," Mountain View, CA ", 🔒 , Feb 02 
 Zynga , Software Engineer - Client - Tech Enablement - Central tech , Canada , 🔒 , Feb 01 
 NVIDIA , Deep Learning Tools Developer – New College Grad 2024 ," Santa Clara, CA ", 🔒 , Feb 01 
 Western Digital , New College Grad - Software Engineer - System Testing ," Rochester, MN ", 🔒 , Feb 01 
Navan (fka TripActions), New College Grad Software Engineer - Front-End ," Palo Alto, CA "," <a href=""https://tripactions.com/job-openings?gh_jid=5662125&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/8f2149e4-8e47-4f05-90b3-98d3b996cd82?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Feb 01 
 Ultra Mobile , QA Engineer - Hybrid ," Newport Beach, CA ", 🔒 , Jan 30 
 CannonDesign , Data Analyst & Visualizer – Entry Level , Remote in USA , 🔒 , Jan 29 
 Hudl , Quality Assurance Engineer I – May Graduates ," Lincoln, NE</br>Omaha, NE ", 🔒 , Jan 27 
 Hudl , Quality Assurance Engineer I – May Graduates ," Lincoln, NE</br>Omaha, NE ", 🔒 , Jan 27 
 Western Digital , New College Grad Engineer - Software Engineering - Firmware ," San Jose, CA ", 🔒 , Jan 27 
 Cadence Design Systems , Software Engineer – New College Grad 2024 , Remote in USA , 🔒 , Jan 26 
 Budderfly , Associate Energy Engineer - Solutions Development-Remote , Remote in USA , 🔒 , Jan 25 
Alexandra Lozano Immigration Law PLLC, IT Support Bilingual English/Spanish ," Tukwila, WA "," <a href=""https://boards.greenhouse.io/alexandralozanoimmigrationlawpllc/jobs/5066148004?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/33b6fa0a-bff7-4df6-924a-10d9cfb4de2e?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 25 
 NVIDIA , Software Engineer – New College Grad 2024 - Chip Design Tools ," Santa Clara, CA ", 🔒 , Jan 25 
Cadence Design Systems, Software Engineer II – New College Grad - Burlington - MA/Greater Boston Area ," Northridge, LA "," <a href=""https://cadence.wd1.myworkdayjobs.com/en-US/External_Careers/job/BURLINGTON-01/Software-Engineer-II--Burlington--MA-Greater-Boston-Area----New-College-Grad_R45039-1?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/b71c4ad3-04a2-4f17-bbc7-0d3681a70109?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 24 
Abnormal Security, Software Engineer II - Cloud Infrastructure , Remote in USA ," <a href=""https://careers.abnormalsecurity.com/jobs/5867723003?gh_jid=5867723003&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/3199ded2-4fa2-4cf8-abfb-1b04eae54cfe?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 24 
Gelber Group, Trade Desk Analyst ," Chicago, IL "," <a href=""https://boards.greenhouse.io/gelbergroup/jobs/4325528006?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/fdebcec9-3d76-4db0-b15f-1be66ed04a3b?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 22 
The RealReal, Associate Specialist - Fjw ," Phoenix, AZ "," <a href=""https://boards.greenhouse.io/therealreal/jobs/7104483002?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/3e5d04a9-c43d-4785-829d-f8f156c77556?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 20 
 Pure Storage , Software Engineer Grad ," Santa Clara, CA ", 🔒 , Jan 20 
Akuna Capital, Women in Trading Sneak Peek Week - 2024 ," Chicago, IL "," <a href=""https://www.akunacapital.com/job-details?gh_jid=5630638&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/4f671015-2e62-4358-bc1c-cdfabb83940c?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 20 
NVIDIA, Architecture Energy Modeling Engineer – New College Grad 2024 ," Santa Clara, CA "," <a href=""https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Architecture-Energy-Modeling-Engineer---New-College-Grad-2024_JR1978377?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/cdeccbc1-b611-4bbb-b216-7a56303c1104?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 20 
NVIDIA, Power Architect – New College Grad 2024 ," Santa Clara, CA "," <a href=""https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Power-Architect---New-College-Grad-2024_JR1978209?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/b2f93fe7-3a5d-4b07-94ae-883c9ce397ad?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 20 
NVIDIA, Backend Compiler Engineer – New College Grad 2024 - Gpu ," Austin, TX</br>Remote in USA "," <a href=""https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-TX-Austin/Backend-Compiler-Engineer--GPU---New-College-Grad-2024_JR1976920?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/0dbea02c-f2ca-4e9e-a1a4-259935d2d9e7?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 20 
Codazen, Full-Stack Engineer Summer 2024 New Grad ," Irvine, CA "," <a href=""https://boards.greenhouse.io/codazen/jobs/4980889004?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/072b3c31-67dc-4102-a448-8257aca7d419?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 19 
The Voleon Group, Data Scientist ," London, UK "," <a href=""https://jobs.lever.co/voleon/3e70512a-a6e7-42a3-b263-86120bc11051/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/86d928ac-1df6-431a-82b1-9d729a6aaf9c?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 18 
 OneLocal , Quality Assurance Analyst , Remote , 🔒 , Jan 18 
 Western Digital , New College Grad Engineer - Software Engineering - Graduating Dec 2023 - May 2024 ," Rochester, MN ", 🔒 , Jan 18 
Jamf, Technical Support Associate – Entry Level - High Potential , Remote in USA ," <a href=""https://www.jamf.com/about/careers/jobs/?gh_jid=5009559004&gh_jid=5009559004&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/9a658828-d7aa-4270-934b-03f38b4b1edc?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 17 
 Similarweb , Data Scientist – Entry Level , NYC , 🔒 , Jan 17 
Alarm.com, Associate Build and Release Engineer ," Vienna, VA "," <a href=""https://boards.greenhouse.io/alarmcom/jobs/7076985002?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/196b7020-3960-4d92-aeea-3594640a8dca?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 13 
Jerry, Full Stack Software Engineer - Chatbot , SF ," <a href=""https://jobs.ashbyhq.com/Jerry/3e70ea16-af8f-49e6-bc07-2aa041c07c38/application?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/a239912c-fd45-4b7b-888f-5984d64e02e9?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 13 
 ServiceNow , Finance Development Rotation Program – New Grad ," Santa Clara, CA ", 🔒 , Jan 12 
 MarketAxess , 2024 Future Leaders in Action Externship , NYC , 🔒 , Jan 11 
 NVIDIA , GPU Architect – New College Grad 2024 ," Santa Clara, CA ", 🔒 , Jan 11 
 Western Digital , New College Grad Software Engineer-Firmware Engineering - HDD Servo Signal Integration and Detection ," San Jose, CA ", 🔒 , Jan 09 
 NVIDIA , Machine Learning Software Platform Architecture – New College Grad 2024 ," Santa Clara, CA ", 🔒 , Jan 09 
 Visa , Systems Engineer – New College Grad - 2024 ," Highlands Ranch, CO ", 🔒 , Jan 09 
 Visa , Associate Systems Analyst – New College Grad - 2024 ," Austin, TX ", 🔒 , Jan 06 
 CoreWeave , IT Specialist II ," Livingston, NJ ", 🔒 , Jan 05 
 Visa , Associate Systems Analyst – New College Grad - 2024 ," Austin, TX ", 🔒 , Jan 05 
WeRide, Software Engineer – New Grads 2024 - Campus Recruiting ," San Jose, CA "," <a href=""https://jobs.lever.co/weride/f949226a-0c90-4368-84b2-eef81615ed62/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/04fbcfe2-276a-4fac-8f36-483d14d33a4c?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 03 
Matroid, Deep Learning Field Engineer ," Palo Alto, CA "," <a href=""https://matroid.breezy.hr/p/fd3a99c34bf6/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/86c7ce6d-b699-40ea-aea2-6abb467083e7?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 03 
Matroid, Deep Learning Engineer ," Palo Alto, CA "," <a href=""https://matroid.breezy.hr/p/eb926c2e5033/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/019f774f-4f91-46a0-bc56-24c9606860e2?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Jan 03 
 Palantir , Product Designer – New Grad - US Government ," Washington, DC ", 🔒 , Jan 03 
