Job_ID,Salaried,Type,Duration
01HQY593ZSFR7WX9DJBRV79049,True,Industry,12 weeks
01HQY593ZSTHSSH68842MNSXQP,True,Industry,12 weeks
01HQY593ZSS2XBM4PW22PHEQ69,True,Industry,8 weeks
01HQY593ZT1RM7WM0RBH00W0YH,True,Industry,16 weeks
01HQY593ZTGAM1FK4V7S9WGSF0,False,Industry,12 weeks
01HQY593ZTJA6DMEJV65P9AXJG,True,Academic,16 weeks
01HQY593ZVJ694SGJ6B7P0S12S,True,Industry,16 weeks
01HQY593ZV8VS3P5BK105HQ82N,True,Industry,8 weeks
01HQY593ZVGE3CEFVFHWJHDJXE,True,Industry,12 weeks
01HQY593ZWRBBDR1SHFWHAD5XY,True,Academic,16 weeks
01HQY593ZWTN1YNSZZK70HBD5A,True,Industry,16 weeks
01HQY593ZWN1HMSD6ZYXHD5J4S,True,Academic,8 weeks
01HQY593ZWT6QC6B0SSSJRFMHM,True,Industry,12 weeks
01HQY593ZXP9G1XHYG90FY7D77,True,Industry,8 weeks
01HQY593ZX91N9V53V7RR9NA3C,True,Industry,8 weeks
01HQY593ZY8EWZ4CX6Z86RQ4NG,True,Academic,8 weeks
01HQY593ZYATCF9SQY4DK46D7T,False,Academic,16 weeks
01HQY593ZY48HMXNS7Z7QFGSQM,True,Industry,16 weeks
01HQY593ZYWKRCSZXT7QTEZ6WG,True,Industry,12 weeks
01HQY593ZZDRWQKAD4Z0EPC7RK,True,Industry,16 weeks
01HQY593ZZ3C8PG1CMPJ8EGR8Y,True,Industry,12 weeks
01HQY593ZZG7VB3HP93VZS28NH,True,Industry,12 weeks
01HQY59400BS6YFSHJ6EB4RSWQ,True,Academic,16 weeks
01HQY59400BJ51D0CM39WAHW0Q,True,Industry,12 weeks
01HQY59400K45RZDWJEW31BJ03,True,Industry,16 weeks
01HQY59401M03CXHBM5XFAQMAF,True,Industry,16 weeks
01HQY59401MGN74MGK1TKPJPB3,True,Academic,8 weeks
01HQY5940243QXMYE36H5ED0H2,True,Industry,12 weeks
01HQY594028NGXXS2M0VX5Q5JS,True,Academic,8 weeks
01HQY59402WWT0MVTDPMEFTZ23,True,Industry,12 weeks
01HQY59402G3G666SG3MWAHWN1,True,Industry,12 weeks
01HQY594035G4V2RSJSC0Q3RW8,True,Industry,12 weeks
01HQY59403J0P9QP9ZZ8A21Y2B,True,Industry,12 weeks
